7 August 1951	26th February 1980	Desdemona	Suzanne Bertish	Director:Ronald Eyre
10 May 1906	10th July 1930	Juliet	Joyce Bland	Director:W Bridges-Adams
person not found on wiki	20th November 1999	Desdemona	Zoe Waites	Director:Michael Attenborough
no birthday on article	16th February 1991	Lear	John Wood	Director:Nicholas Hytner
person not found on wiki	15th October 1966	Macbeth	Leon Eagles	Director:Anthony Carrick
16 January 1906	30th July 1948	Desdemona	Diana Wynyard	Director:Godfrey Tearle
person not found on wiki	unknown opening	Iago	Oliver Hickey	Director:Andrew Manley
person not found on wiki	15th October 1966	Lady Macbeth	Georgine Anderson	Director:Anthony Carrick
no birthday on article	20th November 1999	Othello	Ray Fearon	Director:Michael Attenborough
person not found on wiki	unknown opening	Othello	Damian Myerscough	Director:Andrew Manley
12 October 1884	30th July 1948	Othello	Godfrey Tearle	Director:Godfrey Tearle
person not found on wiki	21st April 1884	Romeo	Felix Pitt	Director:Charles Bernard
16 March 1920	29th January 1953	Iago	Leo McKern	Director:Anthony Quayle
no birthday on article	unknown opening	Macbeth	John Clements	Director:John Clements
14 June 1949	3rd April 2004	Iago	Antony Sher	Director:Gregory Doran
no birthday on article	21st July 1924	Iago	Eric Maxon	Director:W Bridges-Adams
person not found on wiki	21st April 1884	Juliet	Miss Alleyn	Director:Charles Bernard
14 April 1904	14th September 1929	Romeo	John Gielgud	Director:Harcourt Williams
9 October 1923	26th February 1980	Othello	Donald Sinden	Director:Ronald Eyre
21 January 1922	4th January 1968	Macbeth	Paul Scofield	Director:Peter Hall
person not found on wiki	21st July 1924	Desdemona	Ethel Carrington	Director:W Bridges-Adams
person not found on wiki	21st April 1890	Iago	Edwin Lever	Director:Osmond Tearle
26 July 1930	29th January 1953	Desdemona	Barbara Jefford	Director:Anthony Quayle
person not found on wiki	21st July 1924	Othello	Baliol Holloway	Director:W Bridges-Adams
no birthday on article	3rd April 2004	Desdemona	Lisa Dillon	Director:Gregory Doran
person not found on wiki	21st April 1890	Desdemona	Grace Edwin	Director:Osmond Tearle
3 June 1908	14th September 1929	Juliet	Adele Dixon	Director:Harcourt Williams
26 May 1923	6th May 1978	Iago	Roy Dotrice	Director:Peter Dews
person not found on wiki	21st April 1890	Othello	Osmond Tearle	Director:Osmond Tearle
21 April 1918	26th April 1938	Romeo	Francis James	Director:B Iden Payne
no birthday on article	3rd April 2004	Othello	Sello Maake Ka-Ncube	Director:Gregory Doran
26 May 1923	25th March 1978	Iago	Roy Dotrice	Director:Peter Dews
person not found on wiki	26th April 1938	Juliet	Valerie Tudor	Director:B Iden Payne
1 December 1926	unknown opening	Othello	Keith Michell	Director:Peter Dews
22 July 1929	4th January 1968	Lady Macbeth	Vivien Merchant	Director:Peter Hall
8 April 1928	5th June 1962	Macbeth	Eric Porter	Director:Donald McWhinnie
7 September 1913	29th January 1953	Othello	Anthony Quayle	Director:Anthony Quayle
19 June 1957	7th March 1992	Romeo	Michael Maloney	Director:David Leveaux
no birthday on article	10th July 1926	Romeo	Sebastian Shaw	Director:W Bridges-Adams
no birthday on article	18th November 2004	Macbeth	Robert Laughlin	Director:unknown
16 July 1939	14th October 2004	King Lear	Corin Redgrave	Director:Bill Alexander
12 January 1964	7th March 1992	Juliet	Clare Holman	Director:David Leveaux
no birthday on article	26th July 1990	Fool	David Bradley	Director:Deborah Warner
1 December 1926	25th March 1978	Othello	Keith Michell	Director:Peter Dews
23 August 1945	16th August 1983	Macbeth	Bob Peck	Director:Howard Davies
1 September 1928	9th September 1971	Iago	Emrys James	Director:John Barton
no birthday on article	26th July 1990	King Lear	Brian Cox	Director:Deborah Warner
14 December 1849	26th April 1923	Macbeth	Frank Cellier	Director:W Bridges-Adams
person not found on wiki	27th July 1922	Iago	Baliol Holloway	Director:W Bridges-Adams
25 May 1939	21st June 2007	King Lear	Ian McKellen	Director:Trevor Nunn
June 23, 1916	5th June 1962	Lady Macbeth	Irene Worth	Director:Donald McWhinnie
September 13, 1948	10th July 1926	Juliet	Nell Carter	Director:W Bridges-Adams
November 19, 1903	23rd September 2000	Ophelia	Nancy Carroll	Director:Samuel West
17 December 1944	25th October 1985	Macbeth	Bernard Hill	Director:The People Show
no birthday on article	26th April 1923	Lady Macbeth	Dorothy Green	Director:W Bridges-Adams
person not found on wiki	27th July 1922	Desdemona	Ethel Carrington	Director:W Bridges-Adams
12 May 1944	16th August 1983	Lady Macbeth	Sara Kestelman	Director:Howard Davies
1 March 1953	6th June 2010	Macbeth	Martin Gibbons	Director:Stephen Purcell
25 August 1943	9th September 1971	Desdemona	Lisa Harrow	Director:John Barton
21 February 1964	23rd September 2000	Hamlet	Adrian Schiller	Director:Samuel West
no birthday on article	unknown opening	King Lear	John Wood	Director:Nicholas Hytner
30 August 1922	9th September 1971	Othello	Brewster Mason	Director:John Barton
person not found on wiki	18th April 2009	Romeo	Damien Gulde	Director:Marisa King
March 5, 1882	27th July 1922	Othello	William Stack	Director:W Bridges-Adams
person not found on wiki	unknown opening	Iago	Neil Caple	Director:Edward Hall
person not found on wiki	unknown opening	Macbeth	Danny Edge	Director:unknown
person not found on wiki	18th April 2009	Juliet	Lana Sugarman	Director:Marisa King
22 October 1938	25th June 1994	Macbeth	Derek Jacobi	Director:Adrian Noble
person not found on wiki	27th April 1905	Romeo	F R Benson	Director:F R Benson
person not found on wiki	unknown opening	Lady Macbeth	James Tudor	Director:unknown
28 September 1946	11th April 1980	Macbeth	Peter Egan	Director:Mark Cullingham
person not found on wiki	unknown opening	Desdemona	Jackie Morrison	Director:Edward Hall
person not found on wiki	unknown opening	Othello	Leo Wringer	Director:Edward Hall
12 January 1961	1st August 1997	Iago	Simon Russell Beale	Director:Sam Mendes
1940	11th April 1980	Lady Macbeth	Kika Markham	Director:Mark Cullingham
22 May 1949	25th June 1994	Lady Macbeth	Cheryl Campbell	Director:Adrian Noble
no birthday on article	22nd April 1924	Iago	Eric Maxon	Director:W Bridges-Adams
19 December 1884	23rd July 1921	Macbeth	Edmund Willard	Director:W Bridges-Adams
22 October 1938	22nd March 1994	Macbeth	Derek Jacobi	Director:Adrian Noble
10 December 1960	20th July 2013	Macbeth	Kenneth Branagh	Director:Kenneth Branagh
no birthday on article	unknown opening	Iago	Edward Fox	Director:Mervyn Willis
no birthday on article	23rd July 1921	Lady Macbeth	Dorothy Green	Director:W Bridges-Adams
person not found on wiki	22nd April 1924	Desdemona	Ethel Carrington	Director:W Bridges-Adams
22 February 1950	25th October 1985	Lady Macbeth	Julie Walters	Director:The People Show
1965	1st August 1997	Desdemona	Claire Skinner	Director:Sam Mendes
26 May 1923	8th April 1978	Iago	Roy Dotrice	Director:Peter Dews
person not found on wiki	22nd April 1924	Othello	Baliol Holloway	Director:W Bridges-Adams
8 June 1948	unknown opening	Desdemona	Lorna Heilbron	Director:Mervyn Willis
no birthday on article	21st June 1946	Macbeth	Robert Harris	Director:Michael Macowan
no birthday on article	21st June 1946	Lady Macbeth	Valerie Taylor	Director:Michael Macowan
22 May 1949	22nd March 1994	Lady Macbeth	Cheryl Campbell	Director:Adrian Noble
19 October 1940	15th March 1983	King Lear	Michael Gambon	Director:Adrian Noble
person not found on wiki	21st July 2007	Macbeth	Patrick O’Kane	Director:Conall Morrison
20 January 1904	18th April 1933	Lady Macbeth	Fabia Drake	Director:Theodore Komisarjevsky
8 December 1965	1st August 1997	Othello	David Harewood	Director:Sam Mendes
14 February 1952	23rd April 1980	Romeo	Anton Lesser	Director:Ron Daniels
1 December 1926	8th April 1978	Othello	Keith Michell	Director:Peter Dews
no birthday on article	21st July 2007	Lady Macbeth	Derbhle Crotty	Director:Conall Morrison
11 March 1963	20th July 2013	Lady Macbeth	Alex Kingston	Director:Kenneth Branagh
person not found on wiki	unknown opening	Macbeth	Arthur Kohn	Director:David Smith
1936	unknown opening	King Lear	Philip Voss	Director:John Retallack
person not found on wiki	1st May 1991	Fool	Linda Kerr Scott	Director:Nicholas Hytner
person not found on wiki	6th May 1908	Macbeth	F R Benson	Director:F R Benson
person not found on wiki	30th April 1907	Iago	E Lyall Swete	Director:F R Benson
1949	23rd April 1980	Juliet	Judy Buxton	Director:Ron Daniels
26 February 1864	6th May 1908	Lady Macbeth	Constance Benson	Director:F R Benson
person not found on wiki	28th July 2007	Lady Macbeth	Eleanor Kent	Director:Claire Warden
no birthday on article	1st May 1991	King Lear	John Wood	Director:Nicholas Hytner
person not found on wiki	26th November 1990	Fool	Linda Kerr Scott	Director:Nicholas Hytner
18 September 1869	30th April 1907	Desdemona	Evelyn Millard	Director:F R Benson
21 March 1911	unknown opening	Fool	Stephen Haggard	Director:Lewis Casson
October 1, 1896	20th April 1943	Iago	Abraham Sofaer	Director:Milton Rosmer
no birthday on article	26th November 1990	Lear	John Wood	Director:Nicholas Hytner
3 November 1860	30th April 1907	Othello	Lewis Waller	Director:F R Benson
22 February 1914	20th April 1943	Desdemona	Anna Konstam	Director:Milton Rosmer
9 December 1934	3rd June 1978	Lady Macbeth	Judi Dench	Director:Trevor Nunn
1970	9th March 1996	Romeo	Zubin Varla	Director:Adrian Noble
person not found on wiki	20th April 1943	Othello	Baliol Holloway	Director:Milton Rosmer
23 October 1947	4th May 1989	Macbeth	Miles Anderson	Director:Adrian Noble
person not found on wiki	unknown opening	Iago	Rupert Wickham	Director:Christopher Geelan
21 January 1922	15th December 1967	Macbeth	Paul Scofield	Director:Peter Hall
17 August 1963	29th November 2008	Fool	Forbes Masson	Director:Rupert Goold
12 January 1961	1st August 1997	Iago	Simon Russell Beale	Director:Sam Mendes
person not found on wiki	unknown opening	Desdemona	Debra Beaumont	Director:Christopher Geelan
25 May 1939	5th July 1977	Romeo	Ian McKellen	Director:Trevor Nunn
1963	4th May 1989	Lady Macbeth	Amanda Root	Director:Adrian Noble
22 October 1938	3rd December 2010	King Lear	Derek Jacobi	Director:Michael Grandage
22 July 1929	15th December 1967	Lady Macbeth	Vivien Merchant	Director:Peter Hall
1965	1st August 1997	Desdemona	Claire Skinner	Director:Sam Mendes
person not found on wiki	24th February 2007	Macbeth	Gabriel Paul Gawin	Director:Grzegorz Bral
person not found on wiki	14th March 1970	Fool	Christopher Dunham	Director:Caroline Smith
person not found on wiki	24th February 2007	Lady Macbeth	Anna Zubrzycki	Director:Grzegorz Bral
person not found on wiki	14th March 1970	King Lear	Roger Hume	Director:Caroline Smith
7 February 1946	29th November 2008	King Lear	Pete Postlethwaite	Director:Rupert Goold
14 May 1945	5th July 1977	Juliet	Francesca Annis	Director:Trevor Nunn
person not found on wiki	22nd April 1896	Macbeth	F R Benson	Director:F R Benson
no birthday on article	unknown opening	Macbeth	Alec Guinness	Director:William Gaskill
no birthday on article	28th October 1989	Fool	Patrick Miller	Director:Cicely Berry
8 December 1965	1st August 1997	Othello	David Harewood	Director:Sam Mendes
26 February 1864	22nd April 1896	Lady Macbeth	Constance Benson	Director:F R Benson
1 December 1926	20th September 1975	Iago	Keith Michell	Director:Peter Dews
person not found on wiki	28th October 1989	King Lear	Richard Haddon Haines	Director:Cicely Berry
no birthday on article	13th November 1976	Macbeth	David Calder	Director:John Blackmore
9 May 1936	27th May 1978	Macbeth	Albert Finney	Director:Peter Hall
person not found on wiki	16th October 2004	Macbeth	John Killoran	Director:Ellie Jones
16 April 1911	unknown opening	Othello	Guy Burgess	Director:Christopher Geelan
9 April 1941	20th September 1975	Desdemona	Hannah Gordon	Director:Peter Dews
person not found on wiki	16th October 2004	Lady Macbeth	Meg Fraser	Director:Ellie Jones
person not found on wiki	13th November 1976	Lady Macbeth	Lindsey Franklin	Director:John Blackmore
16 March 1920	25th November 1952	Iago	Leo McKern	Director:Anthony Quayle
26 May 1925	12th December 1962	Fool	Alec McCowen	Director:Peter Brook
no birthday on article	20th September 1975	Othello	Topol	Director:Peter Dews
9 August 1869	2nd July 1932	Lear	Randle Ayrton	Director:W Bridges-Adams
person not found on wiki	27th April 1900	Iago	Mr Thalberg	Director:F R Benson
8 April 1930	27th May 1978	Lady Macbeth	Dorothy Tutin	Director:Peter Hall
14 April 1904	unknown opening	Lear	John Gielgud	Director:Lewis Casson
26 July 1930	25th November 1952	Desdemona	Barbara Jefford	Director:Anthony Quayle
26 May 1923	25th February 1978	Iago	Roy Dotrice	Director:Peter Dews
23 June 1876	27th April 1900	Desdemona	Lily Brayton	Director:F R Benson
19 December 1884	28th April 1921	Macbeth	Edmund Willard	Director:W Bridges-Adams
25 March 1921	unknown opening	Lady Macbeth	Simone Signoret	Director:William Gaskill
no birthday on article	28th April 1921	Lady Macbeth	Dorothy Green	Director:W Bridges-Adams
14 June 1949	31st May 1983	Fool	Antony Sher	Director:Adrian Noble
14 June 1949	25th June 2000	Macbeth	Antony Sher	Director:Gregory Doran
March 2, 1829	27th April 1900	Othello	Hermann Vezin	Director:F R Benson
7 September 1913	7th November 1949	Macbeth	Anthony Quayle	Director:Anthony Quayle
1 December 1926	25th February 1978	Othello	Keith Michell	Director:Peter Dews
14 December 1849	23rd July 1923	Macbeth	Frank Cellier	Director:W Bridges-Adams
person not found on wiki	unknown opening	Macbeth	Liam Brennan	Director:unknown
24 January 1956	31st August 1991	Macbeth	Peter Woodward	Director:William Gaunt
person not found on wiki	23rd February 2013	Macbeth	Tom Mcgovern	Director:Caroline Devlin
21 January 1922	12th December 1962	King Lear	Paul Scofield	Director:Peter Brook
no birthday on article	23rd July 1923	Lady Macbeth	Dorothy Green	Director:W Bridges-Adams
16 January 1906	7th November 1949	Lady Macbeth	Diana Wynyard	Director:Anthony Quayle
1 July 1899	18th August 1959	King Lear	Charles Laughton	Director:Glen Byam Shaw
person not found on wiki	23rd February 2013	Lady Macbeth	Johanne Murdock	Director:Caroline Devlin
no birthday on article	unknown opening	Lady Macbeth	Allison McKenzie	Director:unknown
27 August 1955	31st August 1991	Lady Macbeth	Nichola McAuliffe	Director:William Gaunt
person not found on wiki	4th August 1920	Macbeth	Murray Carrington	Director:W Bridges-Adams
24 September 1950	25th June 2000	Lady Macbeth	Harriet Walter	Director:Gregory Doran
4 in 2012	unknown opening	Romeo	Simon Scardifield	Director:Irina Brown
no birthday on article	21st April 1999	Iago	Richard McCabe	Director:Michael Attenborough
no birthday on article	20th May 1993	Fool	Ian Hughes	Director:Adrian Noble
person not found on wiki	21st April 1999	Desdemona	Zoe Waites	Director:Michael Attenborough
13 October 1882	4th August 1920	Lady Macbeth	Ethel Warwick	Director:W Bridges-Adams
19 October 1940	31st May 1983	King Lear	Michael Gambon	Director:Adrian Noble
no birthday on article	unknown opening	Juliet	Elizabeth Chadwick	Director:Irina Brown
9 July 1976	27th June 2010	Macbeth	Elliot Cowan	Director:Lucy Bailey
14 June 1949	16th November 1999	Macbeth	Antony Sher	Director:Gregory Doran
person not found on wiki	25th April 1893	Romeo	G Hippisley	Director:F R Benson
12 August 1939	unknown opening	King Lear	Oliver Ford Davies	Director:Jonathan Kent
no birthday on article	21st April 1999	Othello	Ray Fearon	Director:Michael Attenborough
10 March 1979	27th June 2010	Lady Macbeth	Laura Rogers	Director:Lucy Bailey
no birthday on article	7th May 2016	Fool	Miltos Yerolemou	Director:Michael Buffong
14 July 1931	20th May 1993	King Lear	Robert Stephens	Director:Adrian Noble
26 February 1864	25th April 1893	Juliet	Constance Benson	Director:F R Benson
14 April 1904	unknown opening	Macbeth	John Gielgud	Director:Harcourt Williams
person not found on wiki	3rd April 1945	Iago	Antony Eustrel	Director:Robert Atkins
person not found on wiki	18th November 2006	King Lear	Zho Ye Mang	Director:David K S Tse
2 February 1931	3rd September 1957	Macbeth	Glynn Edwards	Director:Joan Littlewood
24 September 1950	16th November 1999	Lady Macbeth	Harriet Walter	Director:Gregory Doran
23 May 1951	7th May 2016	Lear	Don Warrington	Director:Michael Buffong
9 August 1869	18th July 1925	Macbeth	Randle Ayrton	Director:W Bridges-Adams
no birthday on article	26th August 2010	Fool	Kathryn Hunter	Director:David Farr
person not found on wiki	18th July 1925	Lady Macbeth	Florence Saunders	Director:W Bridges-Adams
6 August 1923	3rd April 1945	Desdemona	Moira Lister	Director:Robert Atkins
30 January 1900	unknown opening	Lady Macbeth	Martita Hunt	Director:Harcourt Williams
23 October 1947	11th March 1989	Macbeth	Miles Anderson	Director:Adrian Noble
person not found on wiki	19th April 1902	Lear	F R Benson	Director:F R Benson
1985 and 1992	3rd September 1957	Lady Macbeth	Eileen Kennally	Director:Joan Littlewood
person not found on wiki	18th April 1929	Lady Macbeth	Dorothy Massingham	Director:W Bridges-Adams
27 May 1953	26th August 2010	King Lear	Greg Hicks	Director:David Farr
14 July 1921	20th April 1936	Fool	Geoffrey Wilkinson	Director:Theodore Komisarjevsky
no birthday on article	2nd November 1976	Fool	Michael Williams	Director:Trevor Nunn
1963	11th March 1989	Lady Macbeth	Amanda Root	Director:Adrian Noble
9 August 1869	20th April 1936	Lear	Randle Ayrton	Director:Theodore Komisarjevsky
no birthday on article	unknown opening	Fool	Patrick Brennan	Director:Sarah Parkin
person not found on wiki	19th July 1930	Macbeth	Wilfrid Walter	Director:W Bridges-Adams
29 October 1967	unknown opening	Macbeth	Rufus Sewell	Director:John Crowley
14 July 1921	3rd July 1931	Fool	Geoffrey Wilkinson	Director:W Bridges-Adams
25 May 1939	12th April 1977	Macbeth	Ian McKellen	Director:Trevor Nunn
15 April 1960	unknown opening	Lady Macbeth	Sally Dexter	Director:John Crowley
9 August 1869	3rd July 1931	Lear	Randle Ayrton	Director:W Bridges-Adams
10 February 1932	unknown opening	King Lear	Barrie Ingham	Director:Sarah Parkin
20 January 1904	19th July 1930	Lady Macbeth	Fabia Drake	Director:W Bridges-Adams
October 12, 1960	11th October 1999	Fool	Hiroyuki Sanada	Director:Yukio Ninagawa
27 June 1922	unknown opening	Fool	Peter Bayliss	Director:Jonathan Miller
9 October 1923	2nd November 1976	King Lear	Donald Sinden	Director:Trevor Nunn
2 June 1932	9th July 1961	Macbeth	Alan Dobie	Director:David William
11 September 1923	18th July 1950	Fool	Alan Badel	Director:Anthony Quayle
25 May 1939	21st June 2007	King Lear	Ian McKellen	Director:Trevor Nunn
person not found on wiki	9th July 1961	Lady Macbeth	Tobi Weinberg	Director:David William
8 April 1928	unknown opening	King Lear	Eric Porter	Director:Jonathan Miller
15 April 1959	unknown opening	Fool	Emma Thompson	Director:Kenneth Branagh
person not found on wiki	30th April 1943	Fool	Geoffrey Wincott	Director:Peter Creswell
October 1, 1896	30th April 1943	King Lear	Abraham Sofaer	Director:Peter Creswell
12 October 1953	17th December 1988	Macbeth	David Threlfall	Director:Braham Murray
5 April 1929	11th October 1999	King Lear	Nigel Hawthorne	Director:Yukio Ninagawa
14 January 1934	unknown opening	King Lear	Richard Briers	Director:Kenneth Branagh
25 May 1939	9th September 1976	Macbeth	Ian McKellen	Director:Trevor Nunn
3 October 1911	unknown opening	Macbeth	Michael Hordern	Director:Douglas Seale
27 May 1953	13th November 2004	Macbeth	Greg Hicks	Director:Dominic Cooke
14 September 1936	4th March 1975	Macbeth	Nicol Williamson	Director:Trevor Nunn
5 August 1937	1st April 1993	Macbeth	Alan Howard	Director:Richard Eyre
1 July 1903	unknown opening	Lady Macbeth	Beatrix Lehmann	Director:Douglas Seale
20 September 1953	13th November 2004	Lady Macbeth	Sian Thomas	Director:Dominic Cooke
28 November 1965	1st April 1993	Lady Macbeth	Anastasia Hille	Director:Richard Eyre
25 May 1939	21st June 2007	King Lear	Ian McKellen	Director:Trevor Nunn
23 May 1912	14th July 1953	Fool	Marius Goring	Director:George Devine
14 December 1935	unknown opening	Lady Macbeth	Barbara Leigh Hunt	Director:John David
no birthday on article	unknown opening	Lear	Paul Rogers	Director:Douglas Seale
20 April 1964	unknown opening	Fool	Andy Serkis	Director:Max Stafford Clark
9 December 1934	12th April 1977	Lady Macbeth	Judi Dench	Director:Trevor Nunn
no birthday on article	31st May 1994	Fool	Ian Hughes	Director:Adrian Noble
14 April 1904	18th July 1950	King Lear	John Gielgud	Director:Anthony Quayle
25 May 1939	20th July 1977	Macbeth	Ian McKellen	Director:Trevor Nunn
20 March 1908	14th July 1953	King Lear	Michael Redgrave	Director:George Devine
14 July 1931	31st May 1994	King Lear	Robert Stephens	Director:Adrian Noble
7 September 1913	unknown opening	King Lear	Anthony Quayle	Director:Don Taylor
May 15, 1879	27th April 1911	Macbeth	Matheson Lang	Director:unknown
person not found on wiki	26th April 1906	Macbeth	F R Benson	Director:F R Benson
24 April 1876	27th April 1911	Lady Macbeth	Hutin Britton	Director:unknown
26 February 1864	26th April 1906	Lady Macbeth	Constance Benson	Director:F R Benson
5 February 1948	unknown opening	King Lear	Tom Wilkinson	Director:Max Stafford Clark
31 December 1937	3rd December 1986	Lear	Anthony Hopkins	Director:David Hare
person not found on wiki	10th May 1905	Macbeth	F R Benson	Director:F R Benson
22 May 1907	7th June 1955	Macbeth	Laurence Olivier	Director:Glen Byam Shaw
no birthday on article	23rd April 1924	Fool	Mark Turner	Director:W Bridges-Adams
no birthday on article	2nd May 1977	Fool	Michael Williams	Director:Trevor Nunn
26 February 1864	10th May 1905	Lady Macbeth	Constance Benson	Director:F R Benson
14 June 1949	28th June 1982	Fool	Antony Sher	Director:Adrian Noble
April 23, 1969	23rd April 1924	King Lear	Arthur Phillips	Director:W Bridges-Adams
9 December 1934	9th September 1976	Lady Macbeth	Judi Dench	Director:Trevor Nunn
9 August 1869	1st July 1931	Macbeth	Randle Ayrton	Director:W Bridges-Adams
person not found on wiki	1st July 1931	Lady Macbeth	Dorothy Massingham	Director:W Bridges-Adams
25 May 1939	21st June 2007	King Lear	Ian McKellen	Director:Trevor Nunn
9 October 1923	2nd May 1977	King Lear	Donald Sinden	Director:Trevor Nunn
person not found on wiki	unknown opening	Macbeth	Peter O Toole	Director:Bryan Forbes
16 March 1969	unknown opening	Macbeth	Jonathan Wrather	Director:Andrew Manley
person not found on wiki	unknown opening	Lady Macbeth	Octavia Walters	Director:Andrew Manley
26 July 1945	4th March 1975	Lady Macbeth	Helen Mirren	Director:Trevor Nunn
19 October 1940	28th June 1982	King Lear	Michael Gambon	Director:Adrian Noble
4 February 1945	unknown opening	Macbeth	Tony Haygarth	Director:Michael Bogdanov
26 May 1925	9th May 1963	Fool	Alec McCowen	Director:Peter Brook
no birthday on article	7th June 1955	Lady Macbeth	Vivien Leigh	Director:Glen Byam Shaw
18 January 1936	unknown opening	Fool	Tim Barlow	Director:Jan Sargent
no birthday on article	1st December 1988	Fool	Patrick Miller	Director:Cicely Berry
25 May 1982	17th August 2008	Fool	Danny Lee Wynter	Director:Dominic Dromgoole
person not found on wiki	1st December 1988	King Lear	Richard Haddon Haines	Director:Cicely Berry
3 December 1942	unknown opening	Lady Macbeth	Lynn Farleigh	Director:Michael Bogdanov
no birthday on article	17th August 2008	King Lear	David Calder	Director:Dominic Dromgoole
20 November 1936	unknown opening	King Lear	Bill Wallis	Director:Jan Sargent
no birthday on article	26th August 2010	Fool	Kathryn Hunter	Director:David Farr
25 May 1939	3rd June 1978	Macbeth	Ian McKellen	Director:Trevor Nunn
27 May 1953	26th August 2010	King Lear	Greg Hicks	Director:David Farr
9 December 1934	20th July 1977	Lady Macbeth	Judi Dench	Director:Trevor Nunn
26 May 1925	6th November 1962	Fool	Alec McCowen	Director:Peter Brook
October 12, 1960	3rd December 1999	Fool	Hiroyuki Sanada	Director:Yukio Ninagawa
27 May 1953	9th October 2004	Macbeth	Greg Hicks	Director:Dominic Cooke
25 May 1939	21st June 2007	King Lear	Ian McKellen	Director:Trevor Nunn
3 August 1972	30th March 1937	Fool	Andrew Leigh	Director:Theodore Komisarjevsky
20 September 1953	9th October 2004	Lady Macbeth	Sian Thomas	Director:Dominic Cooke
12 September 1931	27th March 1997	Lear	Ian Holm	Director:Richard Eyre
21 January 1922	9th May 1963	King Lear	Paul Scofield	Director:Peter Brook
9 August 1869	30th March 1937	King Lear	Randle Ayrton	Director:Theodore Komisarjevsky
person not found on wiki	28th July 1910	Macbeth	F R Benson	Director:F R Benson
26 February 1864	28th July 1910	Lady Macbeth	Constance Benson	Director:F R Benson
14 September 1936	29th October 1974	Macbeth	Nicol Williamson	Director:Trevor Nunn
person not found on wiki	24th April 1890	Fool	Georgie Whyte	Director:Osmond Tearle
person not found on wiki	24th April 1890	King Lear	Osmond Tearle	Director:Osmond Tearle
5 April 1929	3rd December 1999	King Lear	Nigel Hawthorne	Director:Yukio Ninagawa
person not found on wiki	3rd July 1929	Macbeth	Wilfrid Walter	Director:W Bridges-Adams
22 May 1907	24th September 1946	Lear	Laurence Olivier	Director:Laurence Olivier
7 September 1966	unknown opening	Fool	Toby Jones	Director:Jude Kelly
person not found on wiki	8th May 1906	Fool	George R Weir	Director:F R Benson
14 June 1949	unknown opening	Macbeth	Antony Sher	Director:Gregory Doran
14 June 1949	1st January 2001	Macbeth	Antony Sher	Director:Gregory Doran
person not found on wiki	22nd April 1903	Macbeth	F R Benson	Director:F R Benson
21 January 1922	6th November 1962	King Lear	Paul Scofield	Director:Peter Brook
person not found on wiki	8th May 1906	Lear	F R Benson	Director:F R Benson
26 February 1864	22nd April 1903	Lady Macbeth	Constance Benson	Director:F R Benson
person not found on wiki	5th May 1930	Macbeth	Wilfrid Walter	Director:W Bridges-Adams
25 May 1939	21st June 2007	King Lear	Ian McKellen	Director:Trevor Nunn
20 January 1904	3rd July 1929	Lady Macbeth	Fabia Drake	Director:W Bridges-Adams
person not found on wiki	19th September 1987	Macbeth	Keith Bartlett	Director:Declan Donnellan
30 May 1883	3rd March 1928	Macbeth	Eric Maturin	Director:H K Ayliff
24 September 1950	unknown opening	Lady Macbeth	Harriet Walter	Director:Gregory Doran
24 September 1950	1st January 2001	Lady Macbeth	Harriet Walter	Director:Gregory Doran
20 January 1904	5th May 1930	Lady Macbeth	Fabia Drake	Director:W Bridges-Adams
no birthday on article	19th April 1883	Macbeth	John Wainwright	Director:Elliot Galer
14 January 1926	unknown opening	King Lear	Warren Mitchell	Director:Jude Kelly
5 January 1890	3rd March 1928	Lady Macbeth	Mary Merrall	Director:H K Ayliff
no birthday on article	19th September 1987	Lady Macbeth	Leslee Udwin	Director:Declan Donnellan
person not found on wiki	19th April 1883	Lady Macbeth	Mrs Charles Calvert	Director:Elliot Galer
12 October 1884	16th April 1949	Macbeth	Godfrey Tearle	Director:Anthony Quayle
26 October 1953	6th November 1996	Macbeth	Roger Allam	Director:Tim Albery
16 March 1920	unknown opening	Fool	Leo McKern	Director:Hugh Hunt
March 2, 1829	25th April 1900	Macbeth	Hermann Vezin	Director:F R Benson
23 February 1925	31st July 1999	Macbeth	Peter McKay	Director:Eddie McKay
no birthday on article	unknown opening	King Lear	William Devlin	Director:Hugh Hunt
no birthday on article	10th April 1968	Fool	Michael Williams	Director:Trevor Nunn
16 January 1906	16th April 1949	Lady Macbeth	Diana Wynyard	Director:Anthony Quayle
person not found on wiki	31st July 1999	Lady Macbeth	Sara Green	Director:Eddie McKay
person not found on wiki	25th April 1900	Lady Macbeth	Miss Calhoun	Director:F R Benson
14 July 1921	13th April 1931	Fool	Geoffrey Wilkinson	Director:W Bridges-Adams
person not found on wiki	13th July 1927	Macbeth	Wilfrid Walter	Director:W Bridges-Adams
15 August 1946	29th September 2013	Fool	Tony Robinson	Director:unknown
7 June 1943	unknown opening	Macbeth	Michael Pennington	Director:Michael Bogdanov
23 October 1947	4th May 1988	Macbeth	Miles Anderson	Director:Adrian Noble
8 April 1928	10th April 1968	King Lear	Eric Porter	Director:Trevor Nunn
9 August 1869	13th April 1931	Lear	Randle Ayrton	Director:W Bridges-Adams
no birthday on article	13th July 1927	Lady Macbeth	Dorothy Green	Director:W Bridges-Adams
1953	6th November 1996	Lady Macbeth	Brid Brennan	Director:Tim Albery
person not found on wiki	unknown opening	Lady Macbeth	Jenny Quayle	Director:Michael Bogdanov
